,Security Name,Ticker,Sector Name
500186,HINDUSTAN OIL EXPLORATION CO.LTD.,HINDOILEXP,"Oil, Gas & Consumable Fuels"
500187,Agi Greenpac Ltd,AGI,Capital Goods
500188,HINDUSTAN ZINC LTD.,HINDZINC,Metals & Mining
500189,Nxtdigital Ltd,NXTDIGITAL,"Media, Entertainment & Publication"
500191,HMT LTD.,HMT,Capital Goods
500192,PRAG BOSIMI SYNTHETICS LTD.,PRAGBOS,Textiles
500193,HLV Ltd,HLVLTD,Consumer Services
500199,I G PETROCHEMICALS LTD.,IGPL,Chemicals
500201,INDIA GLYCOLS LTD.,INDIAGLYCO,Chemicals
500202,INDIA LEASE DEVELOPMENT LTD.,INDLEASE,Financial Services
500206,Margo Finance Limited,MARGOFIN,Financial Services
500207,INDO RAMA SYNTHETICS (INDIA) LTD.,INDORAMA,Textiles
500209,INFOSYS LTD.,INFY,Information Technology
500210,INGERSOLL-RAND (INDIA) LTD.,INGERRAND,Capital Goods
500211,INSILCO LTD.,INSILCO,Metals & Mining
500213,INTERNATIONAL TRAVEL HOUSE LTD.-$,ITHL,Consumer Services
500214,ION EXCHANGE (INDIA) LTD.-$,IONEXCHANG,Construction
500215,AGRO TECH FOODS LTD.,ATFL,Fast Moving Consumer Goods
500219,JAIN IRRIGATION SYSTEMS LTD.,JISLJALEQS,Capital Goods
500220,JASCH INDUSTRIES LTD.,JASCH,Textiles
500223,JCT LTD.,JCTLTD,Textiles
500227,JINDAL POLY FILMS LTD.,JINDALPOLY,Capital Goods
500228,JSW STEEL LTD.,JSWSTEEL,Metals & Mining
500231,UMANG DAIRIES LTD.,UMANGDAIR,Fast Moving Consumer Goods
500233,KAJARIA CERAMICS LTD.,KAJARIACER,Consumer Durables
500234,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,KAKATCEM,Construction Materials
500235,KALYANI STEELS LTD.,KSL,Metals & Mining
500236,Kanel Industries Limited,KANELIND,Services
500238,WHIRLPOOL OF INDIA LTD.,WHIRLPOOL,Consumer Durables
500239,KG DENIM LTD.,KGDENIM,Textiles
500240,KINETIC ENGINEERING LTD.,KINETICENG,Automobile and Auto Components
500241,KIRLOSKAR BROTHERS LTD.-$,KIRLOSBROS,Capital Goods
500243,Kirloskar Industries Ltd,KIRLOSIND,Capital Goods
500245,KIRLOSKAR FERROUS INDUSTRIES LTD.,KIRLFER,Metals & Mining
500246,ENVAIR ELECTRODYNE LTD.,ENVAIREL,Capital Goods
500247,KOTAK MAHINDRA BANK LTD.,KOTAKBANK,Financial Services
500248,Krishna Filament Industries Ltd,KRIFILIND,Capital Goods
500249,KSB Ltd,KSB,Capital Goods
500250,L.G.BALAKRISHNAN & BROS.LTD.,LGBBROSLTD,Automobile and Auto Components
500251,TRENT LTD.,TRENT,Consumer Services
500252,LAKSHMI MACHINE WORKS LTD.,LAXMIMACH,Capital Goods
500253,LIC HOUSING FINANCE LTD.,LICHSGFIN,Financial Services
500257,LUPIN LTD.,LUPIN,Healthcare
500259,LYKA LABS LTD.,LYKALABS,Healthcare
500260,The Ramco Cements Limited,RAMCOCEM,Construction Materials
500264,MAFATLAL INDUSTRIES LTD.-$,MAFATIND,Textiles
500265,MAHARASHTRA SEAMLESS LTD.,MAHSEAMLES,Capital Goods
500266,MAHARASHTRA SCOOTERS LTD.,MAHSCOOTER,Financial Services
500267,MAJESTIC AUTO LTD.-$,MAJESAUT,Services
500268,MANALI PETROCHEMICAL LTD.,MANALIPETC,Chemicals
500270,BARODA RAYON CORPORATION LTD.,BARODARY,Textiles
500271,Max Financial Services Ltd,MFSL,Financial Services
500277,MID INDIA INDUSTRIES LTD.,MIDINDIA,Textiles
500279,MIRC ELECTRONICS LTD.,MIRCELECTR,Consumer Durables
500280,CENTURY ENKA LTD.,CENTENKA,Textiles
500284,LORDS CHLORO ALKALI LTD.,LORDSCHLO,Chemicals
500285,SPICEJET LTD.,SPICEJET,Services
500288,MOREPEN LABORATORIES LTD.,MOREPENLAB,Healthcare
500290,MRF LTD.,MRF,Automobile and Auto Components
500292,HEIDELBERGCEMENT INDIA LTD.,HEIDELBERG,Construction Materials
500294,NCC Limited,NCC,Construction
500295,Vedanta Limited,VEDL,Metals & Mining
500296,NAHAR SPINNING MILLS LTD.,NAHARSPING,Textiles
500298,NATIONAL PEROXIDE LTD.,NATPEROX,Chemicals
500300,GRASIM INDUSTRIES LTD.,GRASIM,Construction Materials
500302,PIRAMAL ENTERPRISES LTD.,PEL,Financial Services
500304,NIIT LTD.,NIITLTD,Consumer Services
500306,JAYKAY ENTERPRISES LTD.,JAYKAY,Financial Services
500307,NIRLON LTD.,NIRLON,Services
500312,Oil and Natural Gas Corporation Ltd,ONGC,"Oil, Gas & Consumable Fuels"
500313,OIL COUNTRY TUBULAR LTD.,OILCOUNTUB,"Oil, Gas & Consumable Fuels"
500314,ORIENTAL HOTELS LTD.,ORIENTHOT,Consumer Services
500317,OSWAL AGRO MILLS LTD.,OSWALAGRO,Services
500319,INDIAN SUCROSE LTD.,INDSUCR,Fast Moving Consumer Goods
500325,RELIANCE INDUSTRIES LTD.,RELIANCE,"Oil, Gas & Consumable Fuels"
500327,Pil Italica Lifestyle Ltd,PILITA,Consumer Durables
500330,RAYMOND LTD.,RAYMOND,Textiles
500331,PIDILITE INDUSTRIES LTD.,PIDILITIND,Chemicals
500333,PIX TRANSMISSIONS LTD.,PIXTRANS,Capital Goods
500335,BIRLA CORPORATION LTD.,BIRLACORPN,Construction Materials
500336,SURYA ROSHNI LTD.,SURYAROSNI,Capital Goods
500337,PRIME SECURITIES LTD.,PRIMESECU,Financial Services
500338,Prism Johnson Ltd,PRSMJOHNSN,Construction Materials
500339,Rain Industries Ltd,RAIN,Chemicals
500343,AMJ Land Holdings Ltd,AMJLAND,Realty
500346,PUNJAB COMMUNICATIONS LTD.-$,PUNJCOMMU,Telecommunication
500350,RSWM LTD.,RSWM,Textiles
500354,RAJSHREE SUGARS & CHEMICALS LTD.,RAJSREESUG,Fast Moving Consumer Goods
500355,RALLIS INDIA LTD.,RALLIS,Chemicals
500356,SHREE RAMA NEWSPRINT LTD.,RAMANEWS,Forest Materials
500357,RAMA PAPER MILLS LTD.,RAMAPPR-B,Forest Materials
500358,RAMA PETROCHEMICALS LTD.,RAMAPETRO,Financial Services
500360,RAPICUT CARBIDES LTD.,RAPICUT,Capital Goods
500365,Welspun Specialty Solutions Ltd,WELSPLSOL,Capital Goods
500366,ROLTA INDIA LTD.,ROLTA,Information Technology
500367,RUBFILA INTERNATIONAL LTD.,RUBFILA,Automobile and Auto Components
500368,Patanjali Foods Ltd,PATANJALI,Fast Moving Consumer Goods
500370,SALORA INTERNATIONAL LTD.,SALORAINTL,Services
500378,JINDAL SAW LTD.,JINDALSAW,Capital Goods
500380,JK LAKSHMI CEMENT LTD.,JKLAKSHMI,Construction Materials
500387,SHREE CEMENT LTD.,SHREECEM,Construction Materials
500388,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,SKPMIL,Forest Materials
500390,RELIANCE INFRASTRUCTURE LTD.,RELINFRA,Power
500400,TATA POWER CO.LTD.,TATAPOWER,Power
500402,SPML Infra Limited,SPMLINFRA,Construction
500403,SUNDRAM FASTENERS LTD.,SUNDRMFAST,Automobile and Auto Components
500404,SUNFLAG IRON & STEEL CO.LTD.,SUNFLAG,Metals & Mining
500405,SUPREME PETROCHEM LTD.,SPLPETRO,Chemicals
500407,SWARAJ ENGINES LTD.,SWARAJENG,Capital Goods
500408,TATA ELXSI LTD.,TATAELXSI,Information Technology
500410,ACC LTD.,ACC,Construction Materials
500411,THERMAX LTD.,THERMAX,Capital Goods
500412,THIRUMALAI CHEMICALS LTD.,TIRUMALCHM,Chemicals
500413,THOMAS COOK (INDIA) LTD.,THOMASCOOK,Consumer Services
500414,TIMEX GROUP INDIA LTD.-$,TIMEX,Consumer Durables
500418,TOKYO PLAST INTERNATIONAL LTD.,TOKYOPLAST,Consumer Durables
500420,TORRENT PHARMACEUTICALS LTD.,TORNTPHARM,Healthcare
